party_id,party_name_english,party_name_short,country,year,segment_num,union_party_id,in_union,pervote,economic_lr,economic_lr_se,economic_lr_q025,economic_lr_q975,galtan,galtan_se,galtan_q025,galtan_q975
727,Self-Defence of the Polish Republic,SRP,PL,2010,1,,0,,0.15833819564999999,0.04689727265271808,0.07521328000000001,0.257422775,0.632902702,0.042349938246836735,0.55186165,0.716912425
3218,Voice,VOX,ES,2019,1,,0,15.211,0.8934358950000001,0.03095694463291073,0.8264768499999999,0.9459145,0.8847503436249999,0.021702458140495613,0.8399187499999999,0.9240790749999999
3218,Voice,VOX,ES,2020,1,,0,,0.873412674625,0.04406512261961484,0.775218,0.9447294249999999,0.878886492875,0.03643854313668001,0.797876925,0.939491825
3218,Voice,VOX,ES,2021,1,,0,,0.85254426425,0.052946193480633556,0.73320485,0.9389808,0.8750590002499999,0.04190249491425606,0.7790211499999999,0.942103275
3218,Voice,VOX,ES,2022,1,,0,,0.831867033,0.05248204732029351,0.718239925,0.9208940999999999,0.8732476113750001,0.03926569833811495,0.7874632750000001,0.937667275
3218,Voice,VOX,ES,2023,1,,0,12.4839642111658,0.810729565375,0.040266852750951175,0.7299832500000001,0.8860881749999999,0.872685129,0.028015224643925134,0.813500575,0.9228242999999999
3218,Voice,VOX,ES,2024,1,,0,,0.8577461001250001,0.041053031671087016,0.7722718000000001,0.931373425,0.874709780125,0.0327951615213385,0.806449,0.93294645
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2010,1,,0,7.95,0.534477267,0.07742290201388569,0.379490675,0.6830247999999999,0.6090991148749999,0.0516325229362659,0.50466175,0.708200475
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2011,1,,0,,0.52674046575,0.08396477867167726,0.363393675,0.6900697250000001,0.609674473,0.053780579138656845,0.5006782999999999,0.71234155
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2012,1,,0,,0.5181264872499999,0.08517091375320293,0.35061139999999996,0.68406565,0.610505709,0.05348445477879243,0.505161375,0.7134077249999999
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2013,1,,0,,0.510258522125,0.08119423985874424,0.35037045,0.668757775,0.6121414350000001,0.04997599527904413,0.512401325,0.70852285
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2014,1,,0,8.703,0.502186518,0.07161483264687948,0.362416725,0.641800175,0.6131094977499999,0.04337065055244921,0.526597875,0.6970645750000001
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2015,1,,0,,0.49552081475,0.07843437736255522,0.34156092499999996,0.6496903499999997,0.6457515805,0.04663403522330199,0.55258715,0.7352309
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2016,1,,0,,0.490346585625,0.07889788702313585,0.3335882,0.642578375,0.677823121375,0.04604492288733206,0.585641325,0.7658276249999999
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2017,1,,0,,0.483982672375,0.07318994007184834,0.339891175,0.6259811000000001,0.7087273078749999,0.04247977569142094,0.6224353250000001,0.7887468999999999
3171,Alliance for a Better Future of Bosnia and Herzegovina,SBB BiH,BA,2018,1,,0,4.165,0.47765933574999997,0.061512297488958,0.3585693,0.5976555000000001,0.738050286,0.036742338043125586,0.663957875,0.80871365
